cluster_id,k,cv_mse_mean,cv_rmse_mean,cv_r2_mean,cv_mae_mean,cv_rmspe_mean,cv_rmspe_std,cv_mape_mean,cv_qlike_mean
0,3,2.1096040532993492e-08,0.00014474841826577663,0.9659363191712791,9.772358685575973e-05,0.12239917733935368,0.003692130852684648,0.09398692301097457,0.007499326842776655
0,5,2.0408185852761172e-08,0.0001423937296420956,0.9668798310601122,9.416168680866747e-05,0.1161563330868236,0.003876638313643417,0.08950436278915289,0.0067839299550112465
0,10,1.8750693101652965e-08,0.00013662110793623029,0.9696210751177368,9.078294763355088e-05,0.11182219283061749,0.005485082926689958,0.08568384060738787,0.006286533299881961
0,20,1.9673297633728126e-08,0.0001399170045196586,0.9681052759789364,9.058128110774658e-05,0.11054258432500526,0.005119005782850028,0.08433095623883499,0.006140000769233513
0,40,2.0292453300409158e-08,0.00014212999413508546,0.967055907251685,9.099366858579435e-05,0.11061351371035202,0.004724078911841864,0.08406726086018497,0.006164298621547852
0,80,2.165189982057951e-08,0.00014679138728647317,0.9649669696931167,9.294665928749302e-05,0.11143171740272376,0.004472115154531626,0.08475072056124847,0.006275507671368033
1,3,2.731458717809784e-08,0.0001645272882862818,0.9793102626925954,0.0001084726642008903,0.07230387960763972,0.002445688077770531,0.05694462396916268,0.0026379937798644447
1,5,2.6641519515353358e-08,0.00016197751448762852,0.9799443654459077,0.00010445959205238896,0.0693063910155523,0.002714176925498596,0.05443754053046457,0.0024445720426097836
1,10,2.535021209697902e-08,0.00015767746382745434,0.980816205622747,0.00010085978538550939,0.06705897329592181,0.0033864568549173417,0.05228602892589527,0.0022978734641564357
1,20,2.4963400871062006e-08,0.00015646069909010986,0.9810308603894946,9.984021919218706e-05,0.06648809261129798,0.0036651783447951875,0.051742734526832965,0.002261800409591763
1,40,2.6254546300904286e-08,0.00016071291467160582,0.9800435134486005,0.00010009745890518652,0.06679688141358717,0.003737680221106589,0.05145749506762798,0.0022886561489303013
1,80,2.8492580521793403e-08,0.0001676015422712216,0.9783393199843978,0.00010314726294450172,0.06825373282524093,0.00406801564682572,0.05248659566311916,0.0023902208092265514
2,3,4.1413196936245896e-08,0.00020230886493887153,0.9519133353563888,0.00013555734620641343,0.12489925396738148,0.0019600395491766193,0.09656431199650335,0.007778258625243599
2,5,3.666590798090969e-08,0.0001903894942259313,0.9574132897928024,0.0001269778430764419,0.11737546121655695,0.002034017158466676,0.09107017989780129,0.0069328998027623125
2,10,3.4765514808799236e-08,0.0001855781167732937,0.9595347601798705,0.00012295104622423873,0.1135005492678963,0.0026013625124475816,0.0878520755781475,0.006413489470197603
2,20,3.399004781536784e-08,0.00018357594232405877,0.9603071642306331,0.00012094701969256074,0.11171392013578647,0.0028340670128689,0.08604487316557967,0.006194106679681637
2,40,3.3798132627634644e-08,0.00018311703641410234,0.9605779332633793,0.00012089127216894095,0.11138141868446287,0.0027860641016094704,0.08582764250896294,0.006167555931002711
2,80,3.4899983232763164e-08,0.00018610631730771088,0.9592840337827668,0.0001224566641174617,0.11221697252957452,0.003180491431035051,0.08631342404093707,0.006249057424310551
