step,seconds,minutes
split data,0.016209800000069663,0.00027016333333449436
build hardcoded clusters,0.00695009998162277,0.00011583499969371284
feature extraction,0.11862419999670237,0.0019770699999450397
KNN cross validation,10.55324660000042,0.17588744333334033
validation KNN fit plus prediction,0.389158200006932,0.006485970000115534
final KNN fit plus test prediction,0.15848189999815077,0.0026413649999691793
total pipeline,11.30242150000413,0.18837369166673548
