fold_id,feature_build_seconds,fit_evaluate_seconds,pipeline_seconds_before_csv,prediction_rows,latency_repeats,prediction_seconds_mean,prediction_seconds_median,prediction_seconds_min,prediction_seconds_max,prediction_microseconds_per_row,prediction_rows_per_second
0,477.4620107910014,0.20656449999660254,477.74486245799926,85717.0,25.0,0.0021963300404604525,0.0011670420062728226,0.000539333006599918,0.007097458001226187,0.025623039075801213,39027376.76985457
1,518.0021223750082,0.3281392920034705,518.5173459999933,85700.0,25.0,0.006612741560093127,0.004441583005245775,0.0008510420011589304,0.026003499995567836,0.07716151178638422,12959829.02419569
2,496.9703069160023,0.1782711670093704,497.25439149999875,85705.0,25.0,0.002802499961107969,0.0024985000054584816,0.0006621669890591875,0.007772416996886022,0.03269937531191843,30581623.974801593
3,508.9469380829978,0.2499568749917671,509.3045304999978,85709.0,25.0,0.0031992150004953148,0.002568458003224805,0.0008784579986240715,0.0074621250096242875,0.037326476805181655,26790634.573396973
4,452.8541176250001,0.13395316699461546,453.02915845799726,85682.0,25.0,0.0009144966804888099,0.0006534169951919466,0.0005236249999143183,0.002399791992502287,0.010673148158175695,93693068.35996594
