stock_id,QLIKE,RMSPE%,MAPE%,RMSE,MSE_rv,MAE_log,MSE_log_rv
stock_29,0.015895115903228594,18.540885591108182,14.66815122675526,0.00016334759821118346,2.668243784136223e-08,0.1425530884324134,0.031740345655799515
stock_124,0.018510599997032435,21.348727385603375,15.292751456467297,0.0004973001997970529,2.4730748871818876e-07,0.14571225792355333,0.03720908972374627
stock_35,0.019693603972689162,21.74184344012344,16.365207953344783,0.0003555739093399799,1.2643280500331628e-07,0.1553713572864851,0.040119738508902804
stock_43,0.024188585999689396,21.765318042793126,16.540790013406877,0.00017408588103508363,3.030589397576129e-08,0.15934082927884327,0.04515897631998529
stock_69,0.020498170022049365,22.38985772693702,16.402273767750707,0.00026357834564559314,6.947354429326776e-08,0.1569602719828362,0.041434355150669754
stock_50,0.019444391476945933,23.190717062012762,16.7393221173298,0.0003190888437051633,1.0181769017709812e-07,0.15551473910177202,0.04104353146850005
stock_14,0.021194809417960567,24.202986960792735,17.03497686537972,0.00039674296570775064,1.574049808385814e-07,0.15914594074984298,0.04433886003816413
stock_61,0.023817590035140772,25.12626481591549,18.54350401655567,0.00042161304574156835,1.777575603394818e-07,0.17303031637275354,0.049548628723480245
stock_96,0.024082687676155574,25.137916649913407,19.099591196335794,0.0005129703066827596,2.6313853553820436e-07,0.17877286836220702,0.05019569759891497
stock_10,0.02568089773660401,26.06982642769894,19.113828748926796,0.0005415151037086833,2.9323860754462596e-07,0.177740114642119,0.05288637363652873
stock_84,0.023832955019945593,26.11907828500667,18.7252984287505,0.0005557215539242868,3.08826445496024e-07,0.17281566396816453,0.05031433951158861
stock_119,0.026999383401275837,26.70659230049442,19.457585818171594,0.0004853440024540735,2.355588007181397e-07,0.1818137717991861,0.05559668169051709
stock_44,0.0256797415663044,27.79027769319611,19.421946778784,0.0004492165862159664,2.0179554133152678e-07,0.17700802240087882,0.05444416668561107
stock_76,0.029500927943138543,28.798836479474758,21.18165353888798,0.0007004387791073107,4.906144832773401e-07,0.19488640589629116,0.06189435889595003
stock_63,0.032578860555688836,30.05921689661414,20.8262639300903,0.0004299067568773449,1.8481981960879653e-07,0.1930559389679985,0.06583390980065239
stock_111,0.038906190097594044,30.07167942082034,21.143676151396665,0.00038782896083270534,1.5041130286057607e-07,0.19498118864156946,0.07025551801951016
stock_67,0.03387715524017602,30.450572596190064,22.087448123660952,0.00046262633990862983,2.1402313037725509e-07,0.20292568962581478,0.06947819945149647
stock_93,0.032473473728601716,30.69136698095563,21.48040048269436,0.000419673793903781,1.7612609328959328e-07,0.19739975536572035,0.067238639101096
stock_120,0.028133683917412746,31.206857560177486,20.738926270375682,0.0003959131841400999,1.5674724937595266e-07,0.18688269264750637,0.06105237052092568
stock_36,0.030403465294335554,31.479211867125994,20.896548675376188,0.0005019363076988945,2.519400569863993e-07,0.1887408813058764,0.06408314800412787
stock_51,0.03286819934683595,31.56133008952109,22.499815492773667,0.0008822764515228561,7.784117369117626e-07,0.2054781111261539,0.06965152738800073
stock_123,0.030371914715248634,31.997169069084713,21.497968181140795,0.00036371069230331656,1.322854676957578e-07,0.19361703349265633,0.06531079752454652
stock_64,0.032832723121606386,32.10495935424119,22.511201151860906,0.00037497194679999364,1.4060396088697727e-07,0.20250276255981162,0.07018935874606633
